time,tool_processes,rss_sum_kib,rss_max_kib
2026-09-25T09:30:41+00:00,2,2379260,2374356
2026-09-25T09:30:43+00:00,2,2444664,2439760
2026-09-25T09:30:45+00:00,2,2521696,2516792
2026-09-25T09:30:47+00:00,2,2597648,2592744
2026-09-25T09:30:49+00:00,2,2671912,2667008
2026-09-25T09:30:51+00:00,2,2744432,2739528
2026-09-25T09:30:53+00:00,2,2816328,2811424
2026-09-25T09:30:55+00:00,2,2858164,2853260
2026-09-25T09:30:57+00:00,2,2858164,2853260
2026-09-25T09:30:59+00:00,2,2858164,2853260
2026-09-25T09:31:01+00:00,2,391016,386112
2026-09-25T09:31:03+00:00,2,815820,810916
2026-09-25T09:31:05+00:00,2,1329272,1324368
2026-09-25T09:31:07+00:00,2,1637156,1632252
2026-09-25T09:31:09+00:00,2,2335140,2330236
2026-09-25T09:31:11+00:00,2,2683792,2678888
2026-09-25T09:31:13+00:00,2,3009280,3004376
2026-09-25T09:31:15+00:00,2,2572860,2567956
2026-09-25T09:31:17+00:00,2,2572860,2567956
2026-09-25T09:31:19+00:00,2,2572860,2567956
2026-09-25T09:31:21+00:00,2,370284,365380
2026-09-25T09:31:23+00:00,2,405352,400448
2026-09-25T09:31:25+00:00,2,414232,409328
2026-09-25T09:31:27+00:00,2,414232,409328
2026-09-25T09:31:29+00:00,2,313356,308452
2026-09-25T09:31:31+00:00,2,385088,380184
2026-09-25T09:31:33+00:00,2,414072,409168
2026-09-25T09:31:35+00:00,2,414648,409744
2026-09-25T09:31:37+00:00,2,414648,409744
2026-09-25T09:31:39+00:00,2,446884,441980
2026-09-25T09:31:41+00:00,2,497972,493068
2026-09-25T09:31:43+00:00,2,546628,541724
2026-09-25T09:31:45+00:00,2,585132,580228
2026-09-25T09:31:47+00:00,2,622020,617116
2026-09-25T09:31:49+00:00,2,654596,649692
2026-09-25T09:31:51+00:00,2,687120,682216
2026-09-25T09:31:53+00:00,2,724492,719588
2026-09-25T09:31:55+00:00,2,786708,781804
2026-09-25T09:31:57+00:00,2,842256,837352
2026-09-25T09:31:59+00:00,2,893892,888988
2026-09-25T09:32:01+00:00,2,150208,145428
2026-09-25T09:32:03+00:00,2,280544,275764
2026-09-25T09:32:05+00:00,2,238504,233724
2026-09-25T09:32:07+00:00,2,130932,126088
2026-09-25T09:32:09+00:00,2,119268,114424
2026-09-25T09:32:11+00:00,2,144384,139540
2026-09-25T09:32:13+00:00,2,191984,187284
2026-09-25T09:32:15+00:00,1,4728,4728
2026-09-25T09:32:17+00:00,2,344844,340104
2026-09-25T09:32:19+00:00,2,350944,346204
2026-09-25T09:32:21+00:00,2,355576,350836
2026-09-25T09:32:23+00:00,2,355576,350836
2026-09-25T09:32:25+00:00,2,355576,350836
2026-09-25T09:32:27+00:00,2,355576,350836
2026-09-25T09:32:29+00:00,2,355576,350836
2026-09-25T09:32:31+00:00,2,355576,350836
2026-09-25T09:32:33+00:00,2,355576,350836
2026-09-25T09:32:35+00:00,2,220760,216020
2026-09-25T09:32:37+00:00,2,384236,379496
2026-09-25T09:32:39+00:00,2,231908,227168
2026-09-25T09:32:41+00:00,2,246244,241504
2026-09-25T09:32:43+00:00,2,130936,126196
2026-09-25T09:32:45+00:00,2,245808,241068
2026-09-25T09:32:47+00:00,2,253720,248980
2026-09-25T09:32:49+00:00,2,358216,353476
2026-09-25T09:32:51+00:00,2,459568,454828
2026-09-25T09:32:53+00:00,1,4880,4880
2026-09-25T09:32:55+00:00,2,165040,160260
2026-09-25T09:32:57+00:00,2,423564,418784
2026-09-25T09:32:59+00:00,2,423564,418784
2026-09-25T09:33:01+00:00,2,423564,418784
2026-09-25T09:33:03+00:00,2,423564,418784
2026-09-25T09:33:05+00:00,2,423564,418784
2026-09-25T09:33:07+00:00,2,423564,418784
2026-09-25T09:33:09+00:00,2,423564,418784
2026-09-25T09:33:11+00:00,2,423564,418784
2026-09-25T09:33:13+00:00,2,423564,418784
2026-09-25T09:33:15+00:00,2,423564,418784
2026-09-25T09:33:17+00:00,2,423564,418784
2026-09-25T09:33:19+00:00,2,423564,418784
2026-09-25T09:33:21+00:00,2,203504,198724
2026-09-25T09:33:23+00:00,2,387444,382664
2026-09-25T09:33:25+00:00,2,571064,566284
2026-09-25T09:33:27+00:00,2,296172,291328
2026-09-25T09:33:29+00:00,2,308972,304128
2026-09-25T09:33:31+00:00,2,384276,379432
2026-09-25T09:33:33+00:00,2,458884,454040
2026-09-25T09:33:35+00:00,2,533372,528528
2026-09-25T09:33:37+00:00,2,608212,603368
2026-09-25T09:33:39+00:00,2,683596,678752
2026-09-25T09:33:41+00:00,1,4936,4936
2026-09-25T09:33:43+00:00,2,294036,289092
2026-09-25T09:33:45+00:00,2,507720,502776
2026-09-25T09:33:47+00:00,2,507720,502776
2026-09-25T09:33:49+00:00,2,507720,502776
2026-09-25T09:33:51+00:00,2,507720,502776
2026-09-25T09:33:53+00:00,2,507720,502776
2026-09-25T09:33:55+00:00,2,507720,502776
2026-09-25T09:33:57+00:00,2,507720,502776
2026-09-25T09:33:59+00:00,2,507720,502776
2026-09-25T09:34:01+00:00,2,507720,502776
2026-09-25T09:34:03+00:00,2,507720,502776
2026-09-25T09:34:05+00:00,2,507720,502776
2026-09-25T09:34:07+00:00,2,507720,502776
2026-09-25T09:34:09+00:00,2,64248,59304
2026-09-25T09:34:11+00:00,2,248276,243332
2026-09-25T09:34:13+00:00,2,430836,425892
2026-09-25T09:34:15+00:00,2,613460,608516
2026-09-25T09:34:17+00:00,2,177868,172924
2026-09-25T09:34:19+00:00,2,330896,325952
2026-09-25T09:34:21+00:00,2,324772,319828
2026-09-25T09:34:23+00:00,2,396064,391120
2026-09-25T09:34:25+00:00,2,504688,499744
2026-09-25T09:34:27+00:00,2,618776,613832
2026-09-25T09:34:29+00:00,2,734032,729088
2026-09-25T09:34:31+00:00,2,847692,842748
2026-09-25T09:34:33+00:00,2,332736,327920
2026-09-25T09:34:35+00:00,2,457980,453152
2026-09-25T09:34:38+00:00,2,468048,463220
2026-09-25T09:34:40+00:00,2,548884,544056
2026-09-25T09:34:42+00:00,2,714580,709752
2026-09-25T09:34:44+00:00,2,780676,775848
2026-09-25T09:34:46+00:00,2,971996,967168
2026-09-25T09:34:48+00:00,2,1038680,1033852
2026-09-25T09:34:50+00:00,2,1101084,1096256
2026-09-25T09:34:52+00:00,2,1409152,1404324
2026-09-25T09:34:54+00:00,2,1468384,1463556
2026-09-25T09:34:56+00:00,2,1531540,1526712
2026-09-25T09:34:58+00:00,2,1595336,1590508
2026-09-25T09:35:00+00:00,2,1651684,1646856
2026-09-25T09:35:02+00:00,2,1706560,1701732
2026-09-25T09:35:04+00:00,2,1760252,1755424
2026-09-25T09:35:06+00:00,2,2318428,2313600
